time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2025-05-01 00:00,5377.675,5429.561,0.008,0.014,0,146,63
2025-05-01 00:15,5377.727,5429.561,0.008,0.014,0,19,63
2025-05-01 00:30,5377.747,5429.561,0.008,0.014,0,34,63
2025-05-01 00:45,5377.771,5429.561,0.008,0.014,0,145,63
2025-05-01 01:00,5377.822,5429.561,0.008,0.014,0,142,62
2025-05-01 01:15,5377.863,5429.561,0.008,0.014,0,19,62
2025-05-01 01:30,5377.883,5429.561,0.008,0.014,0,19,63
2025-05-01 01:45,5377.904,5429.561,0.008,0.014,0,19,62
2025-05-01 02:00,5377.924,5429.561,0.008,0.014,0,141,62
2025-05-01 02:15,5377.975,5429.561,0.008,0.014,0,138,63
2025-05-01 02:30,5378.025,5429.561,0.008,0.014,0,135,63
2025-05-01 02:45,5378.056,5429.561,0.008,0.014,0,19,62
2025-05-01 03:00,5378.075,5429.561,0.008,0.014,0,142,63
2025-05-01 03:15,5378.124,5429.561,0.008,0.014,0,143,62
2025-05-01 03:30,5378.167,5429.561,0.008,0.014,0,19,62
2025-05-01 03:45,5378.188,5429.561,0.008,0.014,0,147,62
2025-05-01 04:00,5378.218,5429.561,0.008,0.014,0,143,63
2025-05-01 04:15,5378.270,5429.561,0.008,0.014,0,140,62
2025-05-01 04:30,5378.301,5429.561,0.008,0.014,0,18,64
2025-05-01 04:45,5378.322,5429.561,0.008,0.014,0,143,62
2025-05-01 05:00,5378.363,5429.561,0.008,0.014,0,144,62
2025-05-01 05:15,5378.414,5429.561,0.008,0.014,0,19,62
2025-05-01 05:30,5378.434,5429.561,0.008,0.014,0,19,62
2025-05-01 05:45,5378.456,5429.561,0.008,0.014,0,144,62
2025-05-01 06:00,5378.507,5429.561,0.008,0.014,0,145,64
2025-05-01 06:15,5378.547,5429.561,0.008,0.014,0,19,63
2025-05-01 06:30,5378.568,5429.561,0.008,0.014,0,143,72
2025-05-01 06:45,5378.613,5429.561,0.008,0.014,0,145,73
2025-05-01 07:00,5378.664,5429.562,0.008,0.014,0,19,65
2025-05-01 07:15,5378.664,5429.583,0.008,0.014,0,57,63
2025-05-01 07:30,5378.664,5429.607,0.008,0.014,0,143,64
2025-05-01 07:45,5378.664,5429.660,0.008,0.014,0,141,64
2025-05-01 08:00,5378.664,5429.696,0.008,0.014,0,19,66
2025-05-01 08:15,5378.664,5429.718,0.008,0.014,0,19,63
2025-05-01 08:30,5378.664,5429.738,0.008,0.014,2336,70,68
2025-05-01 08:45,5378.664,5429.976,0.008,0.014,1347,144,73
2025-05-01 09:00,5378.664,5430.145,0.008,0.014,2049,140,66
2025-05-01 09:15,5378.664,5430.396,0.008,0.014,1379,136,113
2025-05-01 09:30,5378.664,5430.613,0.008,0.014,132,18,115
2025-05-01 09:45,5378.664,5430.681,0.008,0.014,132,139,108
2025-05-01 10:00,5378.664,5430.763,0.008,0.014,112,140,119
2025-05-01 10:15,5378.664,5430.853,0.008,0.014,206,18,115
2025-05-01 10:30,5378.664,5430.919,0.008,0.014,0,85,112
2025-05-01 10:45,5378.664,5430.958,0.008,0.014,0,142,105
2025-05-01 11:00,5378.664,5431.018,0.008,0.014,0,140,101
2025-05-01 11:15,5378.664,5431.067,0.008,0.014,0,18,105
2025-05-01 11:30,5378.664,5431.097,0.008,0.014,0,145,103
2025-05-01 11:45,5378.664,5431.143,0.008,0.014,0,143,109
2025-05-01 12:00,5378.664,5431.204,0.008,0.014,0,108,105
2025-05-01 12:15,5378.664,5431.242,0.008,0.014,0,18,103
2025-05-01 12:30,5378.664,5431.272,0.008,0.014,0,141,98
2025-05-01 12:45,5378.664,5431.328,0.008,0.014,0,146,105
2025-05-01 13:00,5378.664,5431.385,0.008,0.014,0,19,105
2025-05-01 13:15,5378.664,5431.416,0.008,0.014,0,57,179
2025-05-01 13:30,5378.664,5431.468,0.008,0.014,0,145,2059
2025-05-01 13:45,5378.664,5431.839,0.008,0.014,0,141,2050
2025-05-01 14:00,5378.664,5432.285,0.008,0.014,0,18,194
2025-05-01 14:15,5378.664,5432.339,0.008,0.014,2302,146,196
2025-05-01 14:30,5378.664,5432.799,0.008,0.014,1042,319,197
2025-05-01 14:45,5378.664,5433.092,0.008,0.014,213,312,2104
2025-05-01 15:00,5378.664,5433.591,0.008,0.014,1117,266,1849
2025-05-01 15:15,5378.664,5434.058,0.008,0.014,671,258,157
2025-05-01 15:30,5378.664,5434.270,0.008,0.014,190,309,118
2025-05-01 15:45,5378.664,5434.406,0.008,0.014,199,382,111
2025-05-01 16:00,5378.664,5434.552,0.008,0.014,6,388,113
2025-05-01 16:15,5378.664,5434.681,0.008,0.014,6,310,119
2025-05-01 16:30,5378.664,5434.778,0.008,0.014,6,258,123
2025-05-01 16:45,5378.664,5434.877,0.008,0.014,6,386,125
2025-05-01 17:00,5378.664,5435.002,0.008,0.014,6,383,126
2025-05-01 17:15,5378.664,5435.103,0.008,0.014,0,21,122
2025-05-01 17:30,5378.664,5435.138,0.008,0.014,0,148,121
2025-05-01 17:45,5378.664,5435.187,0.008,0.014,0,145,120
2025-05-01 18:00,5378.664,5435.251,0.008,0.014,163,130,116
2025-05-01 18:15,5378.664,5435.320,0.008,0.014,1457,192,132
2025-05-01 18:30,5378.664,5435.646,0.008,0.014,767,304,140
2025-05-01 18:45,5378.664,5435.933,0.008,0.014,665,299,97
2025-05-01 19:00,5378.664,5436.163,0.008,0.014,10,98,181
2025-05-01 19:15,5378.664,5436.218,0.008,0.014,6,147,184
2025-05-01 19:30,5378.664,5436.292,0.008,0.014,0,144,175
2025-05-01 19:45,5378.664,5436.364,0.008,0.014,0,21,153
2025-05-01 20:00,5378.664,5436.404,0.008,0.014,0,118,158
2025-05-01 20:15,5378.664,5436.448,0.008,0.014,0,149,89
2025-05-01 20:30,5378.664,5436.506,0.008,0.014,0,149,90
2025-05-01 20:45,5378.664,5436.544,0.008,0.014,0,21,87
2025-05-01 21:00,5378.664,5436.568,0.008,0.014,0,149,70
2025-05-01 21:15,5378.664,5436.615,0.008,0.014,1,145,69
2025-05-01 21:30,5378.664,5436.687,0.008,0.014,1585,25,84
2025-05-01 21:45,5378.664,5436.837,0.008,0.014,0,18,86
2025-05-01 22:00,5378.664,5436.860,0.008,0.014,0,18,65
2025-05-01 22:15,5378.664,5436.882,0.008,0.014,0,142,62
2025-05-01 22:30,5378.664,5436.932,0.008,0.014,0,144,63
2025-05-01 22:45,5378.664,5436.985,0.008,0.014,0,144,63
2025-05-01 23:00,5378.664,5437.016,0.008,0.014,0,18,63
2025-05-01 23:15,5378.685,5437.016,0.008,0.014,0,146,65
2025-05-01 23:30,5378.728,5437.016,0.008,0.014,0,147,64
2025-05-01 23:45,5378.780,5437.016,0.008,0.014,0,19,63
2025-05-02 00:00,5378.800,5437.016,0.008,0.014,0,34,63
2025-05-02 00:15,5378.823,5437.016,0.008,0.014,0,146,64
2025-05-02 00:30,5378.874,5437.016,0.008,0.014,0,143,64
2025-05-02 00:45,5378.915,5437.016,0.008,0.014,0,18,63
2025-05-02 01:00,5378.935,5437.016,0.008,0.014,0,144,65
2025-05-02 01:15,5378.969,5437.016,0.008,0.014,0,144,67
2025-05-02 01:30,5379.019,5437.016,0.008,0.014,0,112,64
