time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2023-05-01 00:00,3164.057,3518.942,0.002,0.003,0,116,60
2023-05-01 00:15,3164.100,3518.942,0.002,0.003,0,52,59
2023-05-01 00:30,3164.122,3518.942,0.002,0.003,0,17,59
2023-05-01 00:45,3164.141,3518.942,0.002,0.003,0,17,60
2023-05-01 01:00,3164.161,3518.942,0.002,0.003,0,17,61
2023-05-01 01:15,3164.180,3518.942,0.002,0.003,0,122,60
2023-05-01 01:30,3164.220,3518.942,0.002,0.003,0,120,62
2023-05-01 01:45,3164.264,3518.942,0.002,0.003,0,116,59
2023-05-01 02:00,3164.308,3518.942,0.002,0.003,0,44,59
2023-05-01 02:15,3164.328,3518.942,0.002,0.003,0,17,61
2023-05-01 02:30,3164.348,3518.942,0.002,0.003,0,17,60
2023-05-01 02:45,3164.367,3518.942,0.002,0.003,0,17,59
2023-05-01 03:00,3164.386,3518.942,0.002,0.003,0,127,59
2023-05-01 03:15,3164.423,3518.942,0.002,0.003,0,120,59
2023-05-01 03:30,3164.469,3518.942,0.002,0.003,0,115,62
2023-05-01 03:45,3164.511,3518.942,0.002,0.003,0,76,59
2023-05-01 04:00,3164.536,3518.942,0.002,0.003,0,17,60
2023-05-01 04:15,3164.555,3518.942,0.002,0.003,0,17,59
2023-05-01 04:30,3164.574,3518.942,0.002,0.003,0,17,59
2023-05-01 04:45,3164.593,3518.942,0.002,0.003,0,119,59
2023-05-01 05:00,3164.627,3518.942,0.002,0.003,0,119,59
2023-05-01 05:15,3164.671,3518.942,0.002,0.003,0,117,59
2023-05-01 05:30,3164.716,3518.942,0.002,0.003,0,112,59
2023-05-01 05:45,3164.741,3518.942,0.002,0.003,0,17,59
2023-05-01 06:00,3164.760,3518.942,0.002,0.003,0,17,58
2023-05-01 06:15,3164.779,3518.942,0.002,0.003,0,17,61
2023-05-01 06:30,3164.798,3518.942,0.002,0.003,0,126,66
2023-05-01 06:45,3164.829,3518.942,0.002,0.003,0,120,69
2023-05-01 07:00,3164.876,3518.943,0.002,0.003,0,117,70
2023-05-01 07:15,3164.876,3518.988,0.002,0.003,0,112,63
2023-05-01 07:30,3164.876,3519.028,0.002,0.003,0,17,60
2023-05-01 07:45,3164.876,3519.047,0.002,0.003,0,17,60
2023-05-01 08:00,3164.876,3519.066,0.002,0.003,0,17,60
2023-05-01 08:15,3164.876,3519.086,0.002,0.003,0,17,60
2023-05-01 08:30,3164.876,3519.105,0.002,0.003,0,118,59
2023-05-01 08:45,3164.876,3519.149,0.002,0.003,0,119,60
2023-05-01 09:00,3164.876,3519.193,0.002,0.003,0,114,60
2023-05-01 09:15,3164.876,3519.235,0.002,0.003,0,17,60
2023-05-01 09:30,3164.876,3519.254,0.002,0.003,0,17,60
2023-05-01 09:45,3164.876,3519.273,0.002,0.003,0,17,60
2023-05-01 10:00,3164.876,3519.292,0.002,0.003,0,17,60
2023-05-01 10:15,3164.876,3519.312,0.002,0.003,0,126,60
2023-05-01 10:30,3164.876,3519.350,0.002,0.003,0,120,60
2023-05-01 10:45,3164.876,3519.396,0.002,0.003,0,115,60
2023-05-01 11:00,3164.876,3519.439,0.002,0.003,0,41,61
2023-05-01 11:15,3164.876,3519.461,0.002,0.003,0,17,60
2023-05-01 11:30,3164.876,3519.480,0.002,0.003,0,17,60
2023-05-01 11:45,3164.876,3519.500,0.002,0.003,0,17,60
2023-05-01 12:00,3164.876,3519.519,0.002,0.003,0,118,61
2023-05-01 12:15,3164.876,3519.553,0.002,0.003,0,119,60
2023-05-01 12:30,3164.876,3519.597,0.002,0.003,0,117,60
2023-05-01 12:45,3164.876,3519.642,0.002,0.003,0,113,60
2023-05-01 13:00,3164.876,3519.668,0.002,0.003,0,17,60
2023-05-01 13:15,3164.876,3519.688,0.002,0.003,0,17,60
2023-05-01 13:30,3164.876,3519.706,0.002,0.003,0,17,60
2023-05-01 13:45,3164.876,3519.726,0.002,0.003,0,131,60
2023-05-01 14:00,3164.876,3519.754,0.002,0.003,0,118,60
2023-05-01 14:15,3164.876,3519.800,0.002,0.003,0,117,60
2023-05-01 14:30,3164.876,3519.843,0.002,0.003,0,114,61
