time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-05-10 00:00,4268.095,4430.383,0.004,0.008,0,18,69
2024-05-10 00:15,4268.117,4430.383,0.004,0.008,0,18,65
2024-05-10 00:30,4268.137,4430.383,0.004,0.008,0,135,63
2024-05-10 00:45,4268.169,4430.383,0.004,0.008,0,132,62
2024-05-10 01:00,4268.216,4430.383,0.004,0.008,0,128,60
2024-05-10 01:15,4268.264,4430.383,0.004,0.008,0,125,63
2024-05-10 01:30,4268.309,4430.383,0.004,0.008,0,124,60
2024-05-10 01:45,4268.357,4430.383,0.004,0.008,0,93,60
2024-05-10 02:00,4268.381,4430.383,0.004,0.008,0,18,61
2024-05-10 02:15,4268.401,4430.383,0.004,0.008,0,18,61
2024-05-10 02:30,4268.420,4430.383,0.004,0.008,0,49,61
2024-05-10 02:45,4268.444,4430.383,0.004,0.008,0,131,61
2024-05-10 03:00,4268.491,4430.383,0.004,0.008,0,129,60
2024-05-10 03:15,4268.539,4430.383,0.004,0.008,0,125,63
2024-05-10 03:30,4268.584,4430.383,0.004,0.008,0,124,60
2024-05-10 03:45,4268.631,4430.383,0.004,0.008,0,48,60
2024-05-10 04:00,4268.652,4430.383,0.004,0.008,0,18,60
2024-05-10 04:15,4268.672,4430.383,0.004,0.008,0,18,60
2024-05-10 04:30,4268.691,4430.383,0.004,0.008,0,36,61
2024-05-10 04:45,4268.713,4430.383,0.004,0.008,0,135,61
2024-05-10 05:00,4268.759,4430.383,0.004,0.008,0,128,60
2024-05-10 05:15,4268.807,4430.383,0.004,0.008,0,126,63
2024-05-10 05:30,4268.852,4430.383,0.004,0.008,0,124,60
2024-05-10 05:45,4268.899,4430.383,0.004,0.008,0,62,61
2024-05-10 06:00,4268.921,4430.383,0.004,0.008,0,18,62
2024-05-10 06:15,4268.941,4430.383,0.004,0.008,0,22,63
2024-05-10 06:30,4268.962,4430.383,0.004,0.008,0,39,62
2024-05-10 06:45,4268.985,4430.383,0.004,0.008,219,138,61
2024-05-10 07:00,4269.049,4430.385,0.004,0.008,294,128,132
2024-05-10 07:15,4269.049,4430.481,0.004,0.008,1262,124,111
2024-05-10 07:30,4269.049,4430.701,0.004,0.008,1,123,128
2024-05-10 07:45,4269.049,4430.760,0.004,0.008,0,19,123
2024-05-10 08:00,4269.049,4430.795,0.004,0.008,0,18,123
2024-05-10 08:15,4269.049,4430.829,0.004,0.008,0,19,124
2024-05-10 08:30,4269.049,4430.863,0.004,0.008,0,125,122
2024-05-10 08:45,4269.049,4430.916,0.004,0.008,0,126,126
2024-05-10 09:00,4269.049,4430.974,0.004,0.008,0,123,93
2024-05-10 09:15,4269.049,4431.028,0.004,0.008,2234,124,128
2024-05-10 09:30,4269.049,4431.538,0.004,0.008,995,124,123
2024-05-10 09:45,4269.049,4431.679,0.004,0.008,142,18,112
2024-05-10 10:00,4269.049,4431.738,0.004,0.008,131,19,120
2024-05-10 10:15,4269.049,4431.797,0.004,0.008,126,19,121
2024-05-10 10:30,4269.049,4431.860,0.004,0.008,120,95,122
2024-05-10 10:45,4269.049,4431.933,0.004,0.008,125,128,132
